year,quarter,count,amount
2020,2,185348,33732166.0
2020,3,354284,89495076.0
2020,4,248626,170979933.0
2021,1,318119,206307024.0
2021,2,363989,295066678.0
2021,3,374867,342403352.0
2021,4,526327,655431877.0
2022,1,617606,887447241.0
2022,2,630758,857034846.0
2022,3,806491,1054717869.0
2022,4,1035364,1439762739.0
2023,1,923173,1408801224.0
2023,2,893850,1347399873.0
2023,3,1010211,1445234680.0
2023,4,1159063,1855299766.0
2024,1,1273789,1931955654.0
2024,2,1105041,1759627894.0
2024,3,1213629,1941265641.0
2024,4,1475429,2293956286.0
